name,agg_review,1,2,3,4,5,agg_rating
'cardfight vanguard',5.0,0.0,0.0,0.0,0.0,4.0,5.0
'saki episode of side a',4.5,1.0,3.0,10.0,18.0,66.0,4.479591836734694
'angels of death',4.0,16.0,15.0,19.0,21.0,73.0,3.8333333333333335
'muhyo rojis bureau of supernatural investigation',4.0,1.0,1.0,2.0,5.0,6.0,3.933333333333333
'banpresto world figure colosseum',5.0,0.0,0.0,0.0,0.0,2.0,5.0
'photo kano',3.0,5.0,11.0,9.0,7.0,7.0,3.0
'chaoschild',3.5,2.0,4.0,5.0,3.0,12.0,3.730769230769231
'sound euphonium',4.5,2.0,1.0,5.0,26.0,97.0,4.641221374045801
'gankutsuou',4.5,11.0,10.0,17.0,81.0,619.0,4.7439024390243905
'boogiepop and others',4.0,2.0,5.0,2.0,1.0,27.0,4.243243243243243
'magical girl raising project',3.5,19.0,12.0,20.0,33.0,51.0,3.6296296296296298
'inferno cop',4.5,2.0,3.0,4.0,6.0,35.0,4.38
'little busters',4.5,4.0,4.0,2.0,15.0,51.0,4.381578947368421
'the irresponsible galaxy tylor',1.5,14.0,1.0,2.0,1.0,0.0,1.4444444444444444
'shamanic princess',3.5,0.0,2.0,2.0,2.0,3.0,3.6666666666666665
'koi koi seven',3.0,0.0,3.0,0.0,0.0,1.0,2.75
'otome yokai zakuro',4.5,4.0,2.0,40.0,192.0,1085.0,4.777777777777778
'ebiten',3.5,2.0,0.0,1.0,2.0,4.0,3.6666666666666665
'phantom thief reinya',4.5,8.0,3.0,9.0,31.0,110.0,4.440993788819876
'battle girls time paradox',4.5,9.0,6.0,42.0,134.0,457.0,4.580246913580247
'your lie in april',5.0,8.0,7.0,24.0,49.0,864.0,4.842436974789916
'nekomonogatari black',4.0,1.0,0.0,0.0,0.0,4.0,4.2
