name,tags
'yuki yuna is a hero','yuyuyu'
'yuki yuna is a hero','moe'
'yuki yuna is a hero','drama'
'yuki yuna is a hero','shoujo'
'yuki yuna is a hero','fantasy'
'yuki yuna is a hero','action'
'the severing crime edge','Media Factory'
'the severing crime edge','anime'
'the severing crime edge','dansai bunri crime edge'
'the severing crime edge','the severing crime edge'
'wagnaria','Aniplex of America'
'wagnaria','anime'
'wagnaria','wagnaria!!'
'wagnaria','working'
'wagnaria','wagnaria 2'
'wagnaria','working!!'
'wagnaria','jun fukuyama'
'wagnaria','comedy'
'wagnaria','slice of life'
'wagnaria','karino takatsu'
'glasslip','Showgate'
'glasslip','drama'
'glasslip','slice of life'
'glasslip','romance'
'gdgd mens party','ANEW'
'gdgd mens party','gd men'
'gdgd mens party','gdgd men's party'
'saki','TV TOKYO'
'saki','school'
'saki','sports'
'saki','slice of life'
'saki','tournament'
'saki','mahjong'
'saki','saki'
'saki','anime'
'saki','saki achiga-hen episode of side-a'
'saki','crunchyroll saki'
'trinity seven','TV TOKYO'
'trinity seven','action'
'trinity seven','adventure'
'trinity seven','ecchi'
'trinity seven','comedy'
'trinity seven','shounen'
'shin koihime musou otome tairan','Marvelous AQL Inc.'
'shin koihime musou otome tairan','anime'
'shin koihime musou otome tairan','shin koihime musou'
'shin koihime musou otome tairan','eroge'
'shin koihime musou otome tairan','action'
'shin koihime musou otome tairan','adventure'
'shin koihime musou otome tairan','yuri'
'shin koihime musou otome tairan','ecchi'
'shin koihime musou otome tairan','otome tairan'
'shin koihime musou otome tairan','romance of three kingdoms filled with girls'
'fantastic adventures of unico','Discotek Media'
'the pet girl of sakurasou','Media Factory'
'the pet girl of sakurasou','anime'
'the pet girl of sakurasou','sakurasou'
'the pet girl of sakurasou','the pet girl of sakurasou'
'the pet girl of sakurasou','sakurasou no pet na kanojo'
'the pet girl of sakurasou','romance'
'magi','Aniplex of America'
'magi','action'
'magi','adventure'
'magi','shonen'
'magi','fantasy'
'hakone chan','Asahi Production'
'hakone chan','comedy'
'hakone chan','seinen'
'hakone chan','slice of life'
'hakone chan','onsen yousei hakone-chan'
'true tears','Discotek Media'
'ai mai mi mousou catastrophe','Seven'
'ai mai mi mousou catastrophe','comedy'
'ai mai mi mousou catastrophe','slice of life'
'tonkatsu dj agetaro','Yomiuri Telecasting Corporation (YTV)'
'tonkatsu dj agetaro','staff picks'
'tonkatsu dj agetaro','comedy'
'tonkatsu dj agetaro','shounen'
'the knight in the area','TVAsahi'
'the knight in the area','anime'
'the knight in the area','soccer'
'the knight in the area','sports'
'the knight in the area','shounen'
'the knight in the area','area no kishi'
'the knight in the area','knight in the area'
'the knight in the area','comedy'
'the knight in the area','action'
'the knight in the area','football'
'bladedance of elementalers','Showgate'
'bladedance of elementalers','fantasy'
'bladedance of elementalers','magic'
'bladedance of elementalers','action'
'bladedance of elementalers','ecchi'
'bladedance of elementalers','comedy'
'bladedance of elementalers','seirei tsukai no blade dance'
'hi scool seha girls',"'TMS Entertainment Co., Ltd.'"
'the quintessential quintuplets','TBS'
'the quintessential quintuplets','romance'
'the quintessential quintuplets','comedy'
'the quintessential quintuplets','slice of life'
'the quintessential quintuplets','gotoubun no hanayome'
'you dont know gunma yet','Asahi Production'
'why did you come to japan','TV TOKYO'
'rwby','Rooster Teeth'
'rwby','rooster teeth'
'rwby','rwby'
'rwby','volume 2'
'rwby','chapter 1'
'rwby','ruby'
'rwby','weiss'
'rwby','yang'
'rwby','blake'
'rwby','jaune'
