name,similar
'glasslip','tsukigakirei'
'glasslip','5 centimeters per second'
'glasslip','kokoro connect'
'gdgd mens party','boruto naruto next generations'
'gdgd mens party','one piece'
'gdgd mens party','sword art online'
'gdgd mens party','fairy tail'
'saki','saki episode of side a'
'saki','boruto naruto next generations'
'saki','one piece'
'saki','sword art online'
'trinity seven','food wars shokugeki no soma'
'trinity seven','in another world with my smartphone'
'trinity seven','tsugumomo'
'trinity seven','akashic records of bastard magic instructor'
'shin koihime musou otome tairan','shin koihime musou'
'shin koihime musou otome tairan','koihime musou'
'shin koihime musou otome tairan','momo kyun sword'
'shin koihime musou otome tairan','rwby volume 1 3 the beginning japanese dub'
'fantastic adventures of unico','boruto naruto next generations'
'fantastic adventures of unico','one piece'
'fantastic adventures of unico','sword art online'
'fantastic adventures of unico','fairy tail'
'the pet girl of sakurasou','wolf girl and black prince'
'the pet girl of sakurasou','la corda doro  blue sky'
'the pet girl of sakurasou','crossing time'
'the pet girl of sakurasou','oneroom'
'magi','overlord'
'magi','that time i got reincarnated as a slime'
'magi','the rising of the shield hero'
'magi','fatezero'
'hakone chan','moritasan wa mukuchi'
'hakone chan','ga geijutsuka art design class'
'hakone chan','hanayamata'
'hakone chan','mr tonegawa middle management blues'
'true tears','boruto naruto next generations'
'true tears','one piece'
'true tears','sword art online'
'true tears','fairy tail'
'ai mai mi mousou catastrophe','nyanko days'
'ai mai mi mousou catastrophe','ai mai mi surgical friends'
'ai mai mi mousou catastrophe','hinako note'
'ai mai mi mousou catastrophe','gabriel dropout'
'tonkatsu dj agetaro','senyu'
'tonkatsu dj agetaro','makeruna aku no gundan'
'tonkatsu dj agetaro','taboo tattoo'
'tonkatsu dj agetaro','jojos bizarre adventure'
'the knight in the area','eyeshield 21'
'the knight in the area','taboo tattoo'
'the knight in the area','jojos bizarre adventure'
'the knight in the area','naked wolves'
'bladedance of elementalers','akashic records of bastard magic instructor'
'bladedance of elementalers','hundred'
'bladedance of elementalers','in another world with my smartphone'
'bladedance of elementalers','punch line'
'hi scool seha girls','boruto naruto next generations'
'hi scool seha girls','one piece'
'hi scool seha girls','sword art online'
'hi scool seha girls','fairy tail'
'the quintessential quintuplets','nisekoi'
'the quintessential quintuplets','gamers'
'the quintessential quintuplets','karakai jozu no takagi san'
'the quintessential quintuplets','i cant understand what my husband is saying'
'you dont know gunma yet','boruto naruto next generations'
'you dont know gunma yet','one piece'
'you dont know gunma yet','sword art online'
'you dont know gunma yet','fairy tail'
'why did you come to japan','boruto naruto next generations'
'why did you come to japan','one piece'
'why did you come to japan','sword art online'
'why did you come to japan','fairy tail'
'rwby','rwby volume 1 3 the beginning japanese dub'
'rwby','hunter x hunter'
'rwby','chaika the coffin princess'
'rwby','momo kyun sword'
'citrus','convenience store boy friends'
'citrus','glass mask'
'citrus','orange'
'citrus','say i love you'
'dororo motion magazine','boruto naruto next generations'
'dororo motion magazine','one piece'
'dororo motion magazine','sword art online'
'dororo motion magazine','fairy tail'
'yuruyuri','the quintessential quintuplets'
'yuruyuri','karakai jozu no takagi san'
'yuruyuri','gamers'
'yuruyuri','i cant understand what my husband is saying'
'cardfight vanguard asia circuit season 2','boruto naruto next generations'
'cardfight vanguard asia circuit season 2','one piece'
'cardfight vanguard asia circuit season 2','sword art online'
'cardfight vanguard asia circuit season 2','fairy tail'
'cerberus','overlord'
'cerberus','alderamin on the sky'
'cerberus','saiyuki reload blast'
'cerberus','that time i got reincarnated as a slime'
'sanrio boys','the highschool life of a fudanshi'
'sanrio boys','kenka bancho otome  girl beats boys'
'sanrio boys','milpom'
'sanrio boys','cute high earth defense club love'
'himouto umaru chan','nyanko days'
'himouto umaru chan','ai mai mi surgical friends'
'himouto umaru chan','hinako note'
'himouto umaru chan','gabriel dropout'
'gokudo','boruto naruto next generations'
'gokudo','one piece'
'gokudo','sword art online'
'gokudo','fairy tail'
'he was anime nfls mike daniels','boruto naruto next generations'
'he was anime nfls mike daniels','one piece'
'he was anime nfls mike daniels','sword art online'
'he was anime nfls mike daniels','fairy tail'
'kaiju girls','forest fairy five'
'kaiju girls','love rice'
'kaiju girls','chiruran 12'
'kaiju girls','cheating craft'
'go lion','total eclipse'
'go lion','gargantia on the verdurous planet'
'go lion','heroman'
'go lion','my hero academia'
'rowdy sumo wrestler matsutaro','harukana receive'
'rowdy sumo wrestler matsutaro','princess nine'
'rowdy sumo wrestler matsutaro','haikyu'
'rowdy sumo wrestler matsutaro','free   iwatobi swim club'
'black clover','fairy tail'
'black clover','gegege no kitaro'
'black clover','radiant'
'black clover','boruto naruto next generations'
'tesagure bukatsumono','minami kamakura high school girls cycling club'
'tesagure bukatsumono','piacevole'
'tesagure bukatsumono','angels 3piece'
'tesagure bukatsumono','tanaka kun is always listless'
'magical somera chan','forest fairy five'
'magical somera chan','love rice'
'magical somera chan','chiruran 12'
'magical somera chan','cheating craft'
'cardfight vanguard','boruto naruto next generations'
'cardfight vanguard','one piece'
'cardfight vanguard','sword art online'
'cardfight vanguard','fairy tail'
'saki episode of side a','saki'
'saki episode of side a','boruto naruto next generations'
'saki episode of side a','one piece'
'saki episode of side a','sword art online'
'angels of death','nyanbo'
'angels of death','between the sky and sea'
'angels of death','toriko'
'angels of death','digimon adventure tri'
'muhyo rojis bureau of supernatural investigation','dusk maiden of amnesia'
'muhyo rojis bureau of supernatural investigation','beyond the boundary'
'muhyo rojis bureau of supernatural investigation','hakkenden eight dogs of the east'
'muhyo rojis bureau of supernatural investigation','boruto naruto next generations'
'banpresto world figure colosseum','boruto naruto next generations'
'banpresto world figure colosseum','one piece'
'banpresto world figure colosseum','sword art online'
'banpresto world figure colosseum','fairy tail'
'photo kano','boruto naruto next generations'
'photo kano','one piece'
'photo kano','sword art online'
'photo kano','fairy tail'
'chaoschild','valerian and laureline'
'chaoschild','leiji matsumotos ozma'
'chaoschild','the irresponsible galaxy tylor'
'chaoschild','hackadoll the animation'
'sound euphonium','room mate'
'sound euphonium','chihayafuru'
'sound euphonium','white album 2'
'sound euphonium','oreshura'
'gankutsuou','kite liberator'
'gankutsuou','erased'
'gankutsuou','boruto naruto next generations'
'gankutsuou','one piece'
'boogiepop and others','boruto naruto next generations'
'boogiepop and others','one piece'
'boogiepop and others','sword art online'
'boogiepop and others','fairy tail'
'magical girl raising project','kinos journey  the beautiful world  the animated series'
'magical girl raising project','yuki yuna is a hero'
'magical girl raising project','urahara'
'magical girl raising project','basilisk  the ouka ninja scrolls'
'inferno cop','world trigger'
'inferno cop','taboo tattoo'
'inferno cop','jojos bizarre adventure'
'inferno cop','eyeshield 21'
'little busters','ano natsu de matteru'
'little busters','golden time'
'little busters','myself yourself'
'little busters','tari tari'
'the irresponsible galaxy tylor','hackadoll the animation'
